ticker,volume,category
CURE,50971,Trading--Leveraged Equity
CUT,2813,Natural Resources
CVAR,1,Mid-Cap Value
CVIE,2292,Foreign Large Blend
CVLC,203275,Large Blend
CVMC,4,Mid-Cap Blend
CVSB,509,Ultrashort Bond
CVSE,23,Large Blend
CVY,16515,Allocation--85%+ Equity
CWB,838766,Convertibles
CWEB,748779,Trading--Leveraged Equity
CWI,219084,Foreign Large Blend
CWS,2570,Mid-Cap Blend
CXSE,46558,China Region
CYA,8829,Allocation--50% to 70% Equity
CYB,1244,Single Currency
CZA,1921,Mid-Cap Blend
DALI,3180,Tactical Allocation
DAT,597,Technology
DAX,6864,Miscellaneous Region
DBAW,11290,Foreign Large Blend
DBC,393671,Commodities Broad Basket
DBEF,264380,Foreign Large Blend
DBEH,7649,Long-Short Equity
DBEM,4313,Diversified Emerging Mkts
DBEU,40969,Europe Stock
DBEZ,52742,Europe Stock
DBGR,213,Miscellaneous Region
DBJP,53066,Japan Stock
DBMF,881901,Managed Futures
DCMB,800,Short-Term Bond
DDIV,1980,Mid-Cap Value
DDLS,28841,Foreign Small/Mid Value
DDM,319873,Trading--Leveraged Equity
DDWM,22275,Foreign Large Value
DEED,20993,Multisector Bond
DEEF,17683,Foreign Large Blend
DEEP,353,Small Value
DEF,2486,Large Blend
DEHP,6292,Diversified Emerging Mkts
DEIF,159,Large Blend
DEM,170204,Diversified Emerging Mkts
DEMZ,325,Large Blend
DES,70859,Small Value
DEUS,7274,Mid-Cap Blend
DFAC,2252122,Large Blend
DFAE,260801,Diversified Emerging Mkts
DFAI,456190,Foreign Large Blend
DFAR,205657,Real Estate
DFAS,130335,Small Blend
DFAT,686676,Small Value
DFAU,267266,Large Blend
DFAX,319570,Foreign Large Blend
DFCF,178057,Intermediate-Term Bond
DFE,24485,Europe Stock
DFEM,1670348,Diversified Emerging Mkts
DFEN,122345,Trading--Leveraged Equity
DFEV,177599,Diversified Emerging Mkts
DFGR,1297364,Global Real Estate
DFHY,4449,High Yield Bond
DFIC,1595222,Foreign Large Blend
DFIP,14167,Inflation-Protected Bond
DFIS,98878,Foreign Small/Mid Blend
DFIV,503789,Foreign Large Value
DFJ,34754,Japan Stock
DFLV,434114,Large Value
DFND,93,Long-Short Equity
DFNL,23078,Financial
DFNM,37092,Muni National Interm
